SERVICIO,,MINUSCULAS,Nivel 1,Nivel 2,Nivel 3,Nivel 4,Nivel 5,Nivel 6,Nivel 7,Nivel 8,Nivel 9,Nivel 10,OK,FALLO,Nombre,Longitud,Descripcion,,CODIGO,MENSAJE
TRX,,respuesta(array),respuesta(array),,,,,,,,,,,_EMPTY_,,,,,,
D. FUN.,,,,aval(array),,,,,,,,,,_EMPTY_,,,,,,
,,,,,aval_caracter,,,,,,,,,_EMPTY_,,,,,,
,,,,,aval_documento,,,,,,,,,_EMPTY_,,,,,,
,,,,,aval_documento_tipo,,,,,,,,,_EMPTY_,,,,,,
,,,,,aval_domicilio,,,,,,,,,_EMPTY_,,,,,,
,,,,,aval_importe_avalado,,,,,,,,,_EMPTY_,,,,,,
,,,,,aval_nombre,,,,,,,,,_EMPTY_,,,,,,
,,,,,aval_sujeto_avalado,,,,,,,,,_EMPTY_,,,,,,
,,,,codigo,,,,,,,,,,_EMPTY_,,,,,,
,,,,descripcion,,,,,,,,,,_EMPTY_,,,,,,
,,resp_cod,resp_cod,,,,,,,,,,,_EMPTY_,,,,,,
,,resp_desc,resp_desc,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,
,,,,,,,,,,,,,,_EMPTY_,,,,,,